#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
9.4% 570000 -76697.21210612838 14557.290622588398 -62139.92148353998 301.6085359840327 803 19:39
9.5% 575000 -76860.21312472931 14578.23549978354 -62281.97762494578 302.04248718491 804 19:37
9.6% 580000 -76143.60665701466 14483.083083787333 -61660.52357322733 300.0710502171388 804 19:34
9.7% 585000 -75973.80061930165 14776.710257367244 -61197.0903619344 306.154631581596 805 19:32
9.8% 590000 -76602.20271446604 14593.479609431217 -62008.72310503482 302.35832573704295 806 19:30
9.8% 595000 -76247.9023545084 14285.067233605318 -61962.83512090309 295.9684137978068 807 19:28
9.9% 600000 -76227.32062140308 14194.586633981997 -62032.73398742108 294.0937709198937 807 19:26
10.0% 605000 -76281.99789504585 14485.22933661746 -61796.76855842839 300.1155178444418 806 19:26
10.1% 610000 -76456.81508528627 14414.912253267506 -62041.902832018764 298.6586373634725 806 19:26
10.2% 615000 -76823.30879696381 14449.801725156403 -62373.50707180741 299.38150282040976 805 19:27
10.2% 620000 -75979.32837277 14540.622205749167 -61438.706167020835 301.26318759947475 804 19:27
10.3% 625000 -76289.52554067412 14462.53928471934 -61826.98625595478 299.64540884464105 803 19:27
10.4% 630000 -76875.85805608163 14207.227732177773 -62668.63032390386 294.3556783873549 802 19:27
10.5% 635000 -76583.62126118194 14233.634534303636 -62349.9867268783 294.90279372191054 801 19:27
10.6% 640000 -76470.23226704172 14702.812415968747 -61767.41985107298 304.62356235076015 800 19:27
10.7% 645000 -76551.65856556379 14232.58148253254 -62319.077083031254 294.88097582933494 800 19:27
10.7% 650000 -76041.48014332844 14431.771040790552 -61609.70910253789 299.007929986332 799 19:28
10.8% 655000 -76256.74562825848 14488.061284644133 -61768.68434361434 300.17419220359636 798 19:28
10.9% 660000 -76342.2535609839 14399.523050918266 -61942.73051006563 298.33979267520925 798 19:27
11.0% 665000 -76612.89495374777 14517.52936269808 -62095.3655910497 300.7847332795795 797 19:26
11.1% 670000 -76572.24090795178 14695.907110967406 -61876.33379698438 304.48049321887476 797 19:26
11.2% 675000 -76672.46484810452 14750.094899923217 -61922.369948181295 305.6031952462571 797 19:25
11.2% 680000 -76896.70856710162 14663.223583559105 -62233.48498354252 303.8033321242741 797 19:24
11.3% 685000 -76429.71133708998 14750.760594765406 -61678.95074232457 305.616987596219 796 19:24
11.4% 690000 -76677.54022034534 14490.0169293072 -62187.523291038146 300.2147106722473 796 19:23
11.5% 695000 -76565.25996764321 14374.703519576078 -62190.55644806714 297.82556357131875 796 19:22
11.6% 700000 -75786.28955497745 14591.773271261929 -61194.51628371552 302.32297258167387 796 19:21
11.7% 705000 -75823.42484485172 14429.202607425123 -61394.2222374266 298.9547153156076 795 19:21
11.7% 710000 -76471.32750069133 14593.573229058351 -61877.75427163298 302.36026541657606 795 19:21
11.8% 715000 -76751.4195708652 14559.798496605577 -62191.621074259616 301.66049594212956 794 19:20
11.9% 720000 -76153.88569164134 14493.289531021259 -61660.59616062007 300.28251481502537 793 19:20
12.0% 725000 -76429.51789402496 14408.50329238118 -62021.01460164378 298.5258518499989 793 19:20
