#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
13.6% 825000 -76543.03121465439 14552.947825771877 -61990.083388882515 301.5185587606698 785 19:10
13.7% 830000 -76119.0862326244 14602.37864413082 -61516.70758849358 302.54270241104115 785 19:09
13.8% 835000 -76071.5589160989 14228.86353710492 -61842.69537899399 294.80394473155957 785 19:08
13.9% 840000 -76068.49274228193 14448.485020550159 -61620.007721731774 299.3542223766164 784 19:07
14.0% 845000 -75974.54219014426 14477.889240996949 -61496.65294914731 299.9634404042449 784 19:07
14.0% 850000 -75942.58613433773 14620.005635619842 -61322.58049871789 302.9079112424536 784 19:06
14.1% 855000 -76406.92926295463 14278.842814757594 -62128.086448197035 295.83945176052356 784 19:05
14.2% 860000 -76220.83250308955 14599.532628249715 -61621.29987483984 302.48373658384554 783 19:04
14.3% 865000 -76260.53572845215 14466.273206811033 -61794.26252164111 299.722770958564 783 19:03
14.4% 870000 -76491.20698853655 14208.257993152256 -62282.94899538429 294.3770240836284 783 19:03
14.5% 875000 -76297.55945696775 14609.035107282683 -61688.52434968507 302.68061585648337 783 19:02
14.5% 880000 -75691.96232945992 14416.863942824073 -61275.098386635844 298.69907388735 783 19:01
14.6% 885000 -75750.15593323413 14228.219994983216 -61521.935938250914 294.7906113577743 782 19:00
14.7% 890000 -75631.88626986905 14694.451285955865 -60937.43498391318 304.4503303773293 782 18:59
14.8% 895000 -76408.37743837183 14565.028501514962 -61843.34893685686 301.768854988109 782 18:59
14.9% 900000 -75757.59681265318 14490.772556807266 -61266.82425584592 300.23036631243144 782 18:58
15.0% 905000 -76231.09271630345 14156.854825875373 -62074.23789042808 293.3120158737033 782 18:57
15.0% 910000 -76139.89704662074 14641.016500249598 -61498.88054637114 303.34322961899994 781 18:56
15.1% 915000 -75556.69378906983 14485.21046918414 -61071.483319885694 300.11512693523423 781 18:55
15.2% 920000 -75764.24787504433 14187.66328010201 -61576.58459494232 293.9503278382119 781 18:54
15.3% 925000 -76090.95310242535 14357.156746109544 -61733.79635631581 297.4620167552462 781 18:54
15.4% 930000 -75622.53076997965 14300.537251021691 -61321.99351895796 296.2889328714152 781 18:53
15.5% 935000 -75982.11648912444 14136.784007800403 -61845.33248132404 292.89617406546176 781 18:52
15.5% 940000 -76550.99780800825 14352.259572799738 -62198.73823520851 297.3605535564461 780 18:51
15.6% 945000 -75985.56188027965 14720.580280568898 -61264.98159971075 304.99168989375903 780 18:50
15.7% 950000 -76133.89205974502 14698.771186369733 -61435.12087337529 304.53983321636736 780 18:49
15.8% 955000 -76114.60351977232 14642.029898948242 -61472.573620824085 303.36422595037715 780 18:48
15.9% 960000 -75820.48782794 14563.164810644657 -61257.32301729534 301.73024168502315 780 18:47
16.0% 965000 -75794.73100915503 14640.862615607697 -61153.86839354734 303.3400413250546 780 18:47
16.0% 970000 -75922.7012954498 14688.736853139686 -61233.96444231012 304.33193460160766 779 18:46
16.1% 975000 -76390.46194274306 14728.439663625035 -61662.02227911803 305.15452630877303 779 18:45
16.2% 980000 -75729.22521436994 14334.316849730298 -61394.90836463965 296.98880316848977 779 18:44
16.3% 985000 -76335.70786565763 14190.85995812268 -62144.84790753495 294.016558938684 779 18:43
16.4% 990000 -76704.87857070912 14353.409983828398 -62351.468586880714 297.38438860893837 779 18:42
16.4% 995000 -76332.97096225755 14431.097797991546 -61901.873164266 298.99398125231033 779 18:41
16.5% 1000000 -75772.00709687814 14157.408861372569 -61614.59823550557 293.32349478413545 778 18:40
16.6% 1005000 -76335.22586448136 14971.575687514378 -61363.65017696698 310.19199530705316 778 18:40
16.7% 1010000 -75948.08819393138 14388.715001380582 -61559.373192550804 298.1158636431924 778 18:39
16.8% 1015000 -76151.7833158382 14706.774349563655 -61445.008966274545 304.7056485728605 778 18:38
16.9% 1020000 -76342.30452724287 14326.638718330416 -62015.665808912454 296.82972205713116 778 18:37
16.9% 1025000 -76310.73388086297 14228.493771459127 -62082.24010940384 294.79628365794525 778 18:36
17.0% 1030000 -75921.22977667696 14776.25823048401 -61144.97154619295 306.14526615982817 778 18:35
17.1% 1035000 -76245.88598969617 14549.116805656926 -61696.769184039236 301.4391848992726 778 18:34
17.2% 1040000 -76547.66652163315 14437.578550320553 -62110.08797131259 299.1282541931139 777 18:33
