#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
10.3% 625000 -76344.6029512121 14460.604218784492 -61883.99873242761 299.68275414522225 741 21:04
10.4% 630000 -76352.08273123982 14428.167112667796 -61923.91561857202 299.0105248835344 741 21:03
10.5% 635000 -76453.17103400119 14295.286012516977 -62157.88502148422 296.2566860076101 741 21:03
10.6% 640000 -76952.68230703991 14572.584990540272 -62380.09731649964 302.00345289220036 740 21:02
10.7% 645000 -76250.80611717762 14496.811906536115 -61753.994210641504 300.4331252516066 740 21:02
10.7% 650000 -76635.43488981211 14240.34648523276 -62395.08840457935 295.1181147142624 739 21:02
10.8% 655000 -76561.01133646918 14409.226442159612 -62151.78489430957 298.6179968662144 739 21:01
10.9% 660000 -76664.31291843405 14524.720086027986 -62139.592832406066 301.01149666449953 739 21:00
11.0% 665000 -76535.64834126309 14344.25987484826 -62191.388466414835 297.2716243685883 738 21:00
11.1% 670000 -76349.14158542569 14612.33189292866 -61736.80969249703 302.8271709745347 738 21:00
11.2% 675000 -76254.39039609101 14484.838556444907 -61769.551839646105 300.18498855708197 737 20:59
11.2% 680000 -76938.20890455894 14340.870879070044 -62597.33802548889 297.2013905406489 737 20:58
11.3% 685000 -76164.33054186779 14428.914279056624 -61735.416262811166 299.02600922138237 737 20:58
11.4% 690000 -76510.29150335064 14561.313985458937 -61948.977517891704 301.76987165357053 737 20:57
11.5% 695000 -76030.66242028448 14339.032717686097 -61691.62970259839 297.1632963325667 736 20:57
11.6% 700000 -76058.9318110218 14470.981079726553 -61587.95073129525 299.89780506698514 736 20:56
11.7% 705000 -76254.98716794635 14653.140576508345 -61601.84659143801 303.6728934978242 735 20:55
11.7% 710000 -76747.31950119059 14896.167575993515 -61851.151925197075 308.70940507337485 735 20:55
11.8% 715000 -76728.27772852362 14307.969757663519 -62420.3079708601 296.5195449878354 735 20:54
11.9% 720000 -76870.12098679258 14031.870937602956 -62838.25004918962 290.79765027582107 734 20:54
12.0% 725000 -76598.90676372257 14856.094044455802 -61742.81271926677 307.8789179016184 734 20:53
