#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
15.5% 940000 -76485.55701714277 14206.747275608399 -62278.809741534365 294.4218019236632 703 20:56
15.6% 945000 -76082.30373406976 14585.049977497632 -61497.25375657213 302.26177830967583 703 20:55
15.7% 950000 -75975.74779628991 14382.586668358448 -61593.16112793147 298.0659119974391 702 20:54
15.8% 955000 -75916.69380139136 14302.195161815267 -61614.49863957609 296.3998717873455 702 20:54
15.9% 960000 -76443.58277750493 14234.911074038671 -62208.67170346626 295.005470804512 702 20:53
16.0% 965000 -76309.60198611973 14356.388450994504 -61953.21353512522 297.5229779806763 702 20:52
16.0% 970000 -75890.43446147896 14528.535860678117 -61361.89860080084 301.0905750929696 701 20:51
16.1% 975000 -75934.66936843742 14360.068651178502 -61574.600717258916 297.59924675273174 701 20:50
16.2% 980000 -76230.75306683661 14857.44816532961 -61373.304901507 307.9069808142581 701 20:50
16.3% 985000 -76176.06850457165 14652.314117810114 -61523.75438676154 303.6557658996183 701 20:49
16.4% 990000 -75999.29638529842 14607.2730441344 -61392.02334116402 302.72233097500697 700 20:48
16.4% 995000 -76455.22839368333 14435.406646793213 -62019.82174689011 299.16055758566836 700 20:47
16.5% 1000000 -76329.72926428312 14627.508134684085 -61702.22112959903 303.14168465999546 700 20:46
16.6% 1005000 -76190.17970112507 14574.623099884437 -61615.556601240634 302.0456908382963 700 20:46
16.7% 1010000 -76525.9501398584 14650.954276072573 -61874.99586378582 303.62758442732695 699 20:45
16.8% 1015000 -76148.22682202994 14409.454063884788 -61738.772758145155 298.6227141176149 699 20:44
16.9% 1020000 -76660.18118647594 14410.666641891612 -62249.51454458432 298.6478436842086 699 20:43
16.9% 1025000 -76516.40494226386 14341.330834182065 -62175.0741080818 297.2109226883149 699 20:42
17.0% 1030000 -76185.94676973458 14655.597500149424 -61530.34926958516 303.7238109859418 699 20:41
17.1% 1035000 -76249.03030975471 14518.861945461573 -61730.168364293146 300.89009207638196 698 20:40
17.2% 1040000 -76476.54489431749 14374.295953962452 -62102.248940355035 297.8940945487051 698 20:40
17.3% 1045000 -75791.8792350231 14699.505732263864 -61092.373502759234 304.6337688086315 698 20:39
17.4% 1050000 -75876.95423739922 14569.4715927293 -61307.482644669915 301.9389305792578 698 20:38
17.4% 1055000 -76405.0222289899 14577.973439681875 -61827.04878930802 302.1151235565028 697 20:37
17.5% 1060000 -75890.5543099084 14754.690227492136 -61135.864082416265 305.77741683785007 697 20:36
17.6% 1065000 -76400.47334486741 14285.353357900762 -62115.119986966645 296.05084085436994 697 20:35
17.7% 1070000 -76320.06380087885 14586.542386163523 -61733.52141471533 302.2927071099208 697 20:34
17.8% 1075000 -76104.88464924216 14623.74984627163 -61481.134802970526 303.0637975810549 697 20:34
17.9% 1080000 -76199.5291566925 14302.536274292455 -61896.992882400045 296.4069410304484 696 20:33
17.9% 1085000 -76230.97121968996 14348.044567578947 -61882.92665211102 297.35005865279703 696 20:32
18.0% 1090000 -76224.13100725337 14597.445598486836 -61626.68540876653 302.5186661811079 696 20:31
18.1% 1095000 -76157.57511587683 14580.892556985544 -61576.68255889128 302.175619584193 696 20:30
18.2% 1100000 -76381.44658027415 14520.531068456663 -61860.91551181748 300.92468311895584 696 20:29
18.3% 1105000 -76420.52595138269 14256.721409264639 -62163.80454211805 295.4574699900549 696 20:27
18.3% 1110000 -76239.63446830152 14772.021564104652 -61467.61290419687 306.1365928868224 697 20:25
18.4% 1115000 -76419.42979723884 14497.256898913061 -61922.172898325785 300.4423473103173 697 20:22
18.5% 1120000 -76389.67421228677 14622.698839359937 -61766.975372926834 303.04201642715867 698 20:20
18.6% 1125000 -76023.43464101125 14646.57892728217 -61376.85571372908 303.53690933823555 698 20:18
18.7% 1130000 -76481.15000673178 14453.74830509058 -62027.4017016412 299.5406716245413 699 20:16
18.8% 1135000 -75791.47262839928 14713.73574341235 -61077.73688498693 304.9286727329748 699 20:14
18.8% 1140000 -76666.7936533619 14164.211077385246 -62502.58257597666 293.5402782444644 700 20:12
18.9% 1145000 -75700.85262652097 14712.72540950828 -60988.12721701268 304.90773448984214 700 20:10
19.0% 1150000 -76641.91889175583 14370.981956811067 -62270.936934944766 297.82541499849196 701 20:07
19.1% 1155000 -75843.0116975505 14438.918731886011 -61404.09296566448 299.23334232671226 701 20:07
19.2% 1160000 -76184.44471811996 14456.503027229439 -61727.941690890526 299.59776071328116 701 20:06
19.3% 1165000 -76100.67628086379 14830.884782195379 -61269.791498668405 307.35647907196295 700 20:05
19.3% 1170000 -75999.8344697778 14511.948316114027 -61487.88615366377 300.74681345173633 700 20:04
19.4% 1175000 -76212.6756859911 14341.578928909981 -61871.09675708112 297.21606422391227 700 20:03
19.5% 1180000 -76023.81954367652 14475.543703991229 -61548.275839685295 299.99236126844676 700 20:02
19.6% 1185000 -75955.66384055099 14348.07700878057 -61607.586831770415 297.35073096693435 700 20:01
19.7% 1190000 -76231.14425715363 14536.161015645615 -61694.98324150802 301.2485994332302 699 20:00
